"species","sla","ldmc","lnc_m","lpc_m"
"EROPHILA VERNA",35.00866667,133.8516667,25.475,3.6475
"ERYNGIUM CAMPESTRE",7.261657658,325.2679265,15.0734375,1.12765625
"EUONYMUS EUROPAEUS",15.25869565,318.5294118,24.812,1.772889742
"EUPATORIUM CANNABINUM",25.59157895,198.5,20.42857143,0.849294182
"EUPHORBIA CYPARISSIAS",24.25775,290.0146667,30.16072909,2.332333333
"EUPHORBIA EXIGUA",23.80003059,233.7565499,21.36318505,1.120593226
"EUPHORBIA FLAVICOMA",27.33666667,301.912,32.1,3.31
"EUPHORBIA HELIOSCOPIA",36.035,195,16.6,1.4
"FAGUS SYLVATICA",14.99390476,436.1888889,23.2156682,1.428281945
"FESTUCA ALTISSIMA",26.6,255.235,22.66666667,2.133333333
"FESTUCA ARUNDINACEA",17.22684153,253.589422,25.11222222,2.367374004
"FESTUCA CHRISTIANI-BERNARDII",8.370235632,430.7341278,14.14687953,1.548
"FESTUCA GIGANTEA",28.20333333,213,29.70833333,2.458333333
"FESTUCA LAEVIGATA",9.309285714,345.9894413,12.87931702,1.112428571
"FESTUCA NIGRESCENS",16.29,385.3225,14.3,0.864
"FESTUCA OVINA",15.06840909,333.1104545,14.71363636,1.074337387
"FESTUCA PANICULATA",8.56,393.284,11.7,0.709
"FESTUCA PRATENSIS",24.0513048,259.4157783,24.40809524,2.168384873
"FESTUCA RUBRA",12.49956983,328.9693709,16.76901336,1.588910702
"FESTUCA VALESIACA",19.42,380,14.175,1.93
"FESTULOLIUM LOLIACEUM",24.73875,144.5,40.3575,3.28569622
"FILAGO GALLICA",26.74,220,12.92,1.456
"FILAGO PYRAMIDATA",33.36018182,245.6473636,20.28609918,3.0625
"FILIPENDULA ULMARIA",24.64294118,336.6666667,29.51545455,2.256188699
"FILIPENDULA VULGARIS",16.91946914,354.2815781,20.05555556,2.056875335
"FRAGARIA VESCA",19.44133333,368.6081274,19.63820779,3.705313307
