"site","longitude","latitude","annual_temp","annual_prec","gsl"
"849078",6.77911023041852,44.6570898024441,30.8867768701942,838.437646247324,172
"849091",5.37400423474758,45.4618475672859,109.943228744515,1116.73074381203,254
"849222",6.70036834023099,44.8039594195609,21.5670943156366,753.666226674646,156
"849232",5.36121401668065,45.4621175212757,108.993473832495,1121.42963713589,251
"849234",5.36121401668065,45.4621175212757,108.993473832495,1121.42963713589,251
"849289",5.80680994284702,46.1726947021802,100.420372449694,1140.1716637597,227
"849292",5.80680994284702,46.1726947021802,100.420372449694,1140.1716637597,227
"849294",5.80680994284702,46.1726947021802,100.420372449694,1140.1716637597,227
"849382",5.20160603705304,44.9879541099788,108.105265184059,1165.20239935455,248
"849385",5.2008988456205,44.9699537217906,100.562709942515,1181.28589076538,248
"849396",5.93968540266406,44.5384488943417,79.9265191221153,985.864061543984,156
"849444",5.18646423199556,44.925203141598,80.9930195816286,1224.34497190464,221
"864033",6.75091751090559,44.6129858910555,20.2196359260971,892.774142481808,153
"864037",6.76290620883597,44.6035653552932,9.09099943990609,917.324717460885,153
"864130",5.36121401668065,45.4621175212757,108.993473832495,1121.42963713589,251
"864136",5.34842367467315,45.4623860173658,107.525497873099,1178.74146864894,251
"864172",5.37554383850806,45.4978498602207,109.335221591541,1134.2944579567,257
"864218",5.37554383850806,45.4978498602207,109.335221591541,1134.2944579567,257
"864219",5.37554383850806,45.4978498602207,109.335221591541,1134.2944579567,257
"864220",5.37554383850806,45.4978498602207,109.335221591541,1134.2944579567,257
"864229",5.38834221658482,45.4975782710503,112.603606863973,1032.28725149271,257
"864230",5.38834221658482,45.4975782710503,112.603606863973,1032.28725149271,257
"864231",5.37554383850806,45.4978498602207,109.335221591541,1134.2944579567,257
"864238",5.37554383850806,45.4978498602207,109.335221591541,1134.2944579567,257
"864253",5.38872950233487,45.5065788238137,110.171485188676,1147.50947110483,257
"864255",5.38872950233487,45.5065788238137,110.171485188676,1147.50947110483,257
"864350",6.84026233211142,44.6279422869566,-1.65529704392528,944.350270378182,147
"864406",6.77911023041852,44.6570898024441,30.8867768701942,838.437646247324,172
"864448",6.82705963927305,44.6193871923262,13.7020390329442,918.625705488217,147
"864490",6.62559492592653,44.6261821660222,42.7300049058171,1027.91731275839,181
"864533",6.81446952818617,44.6198226319175,10.220176141202,918.802239556006,147
"864894",5.86264985165437,46.0000959198658,119.722266707366,959.665410372329,261
"865063",5.86264985165437,46.0000959198658,119.722266707366,959.665410372329,261
"865304",6.78989348852417,44.6296814613051,12.3353992750776,919.249573641045,147
"865498",6.33572501190747,44.4190651298466,72.4899310025425,1065.8878346773,205
"865501",6.60040846124902,44.6270057253986,34.754353757303,1086.26486340891,181
"865588",6.76835368852688,44.8737771724229,28.2432449066907,743.72696888153,161
"865592",6.76835368852688,44.8737771724229,28.2432449066907,743.72696888153,161
"865738",6.68561698526686,44.5791345662255,35.3100318949098,849.605101409138,164
"866115",6.69643073142679,44.5517362033053,25.1978945437023,871.3834206003,164
"866117",6.69584168448769,44.5427437283918,19.3361316640404,873.998284092664,131
"866118",6.69584168448769,44.5427437283918,19.3361316640404,873.998284092664,131
"866138",5.38872950233487,45.5065788238137,110.171485188676,1147.50947110483,257
"866143",6.70841551347899,44.5423218123699,21.886293206126,824.983851109747,131
"866146",5.38872950233487,45.5065788238137,110.171485188676,1147.50947110483,257
"866151",5.38872950233487,45.5065788238137,110.171485188676,1147.50947110483,257
"866578",5.38017465118915,45.6058575790783,117.832167399535,1162.94942556832,268
"866669",6.5502147465962,45.2324761746392,29.1880700433446,823.778693424546,148
"866730",6.99900745689492,44.7304823821824,29.3307923632615,789.163429608502,155
"873390",7.01162085558904,44.730025908781,7.65659945909142,919.539298678157,155
"873409",6.97695923860404,44.7763492158055,38.8596302211515,669.151962398209,163
"873459",6.97187496919037,44.7044164053454,-17.7153723234315,939.458708885199,145
"873481",6.94413534073853,44.8496386319555,-1.9165683091241,680.118898154676,155
"874166",5.77087183433522,44.9482011965006,92.5026160453557,954.946342520118,235
"874170",5.77087183433522,44.9482011965006,92.5026160453557,954.946342520118,235
"874171",5.77087183433522,44.9482011965006,92.5026160453557,954.946342520118,235
"874173",5.77087183433522,44.9482011965006,92.5026160453557,954.946342520118,235
"874175",5.77087183433522,44.9482011965006,92.5026160453557,954.946342520118,235
"874177",5.77087183433522,44.9482011965006,92.5026160453557,954.946342520118,235
"874178",5.6974420164551,45.0040611271411,116.903110428333,993.701056627833,251
"874264",6.67392693925762,44.786813194823,3.3745819827692,988.533442614047,156
"874291",6.67392693925762,44.786813194823,3.3745819827692,988.533442614047,156
"874363",6.71697805107859,44.2897032671001,5.95091643352013,1157.36530038565,150
"874529",6.81568726341564,44.637806880052,30.8846343721584,850.255592771714,169
"874534",6.8408753040641,44.6369342828699,5.46348612640631,961.35041239678,169
"874564",6.82767041282245,44.6283792313889,12.2807818194435,899.117389276618,147
"874653",6.83964955562384,44.6189503190939,8.21001765114056,937.520803820073,147
"874794",6.7677145705665,44.6755048201505,43.0359630282902,707.409459766207,172
"874796",6.7929202050753,44.67464313482,34.1117778871432,740.077420266776,169
"874918",6.63437279281791,44.1753296207234,72.1524054274555,777.780761644386,188
"874920",6.63494830446495,44.1843208797734,69.8779722021254,736.897545619674,188
"874921",6.63494830446495,44.1843208797734,69.8779722021254,736.897545619674,188
"874922",6.63494830446495,44.1843208797734,69.8779722021254,736.897545619674,188
"874923",6.63494830446495,44.1843208797734,69.8779722021254,736.897545619674,188
"874924",6.64744327429387,44.1839059724259,53.9789512999747,925.135949988872,188
"874925",6.64744327429387,44.1839059724259,53.9789512999747,925.135949988872,188
"874926",6.63494830446495,44.1843208797734,69.8779722021254,736.897545619674,188
"874927",6.63494830446495,44.1843208797734,69.8779722021254,736.897545619674,188
"874942",6.63552399827932,44.1933121777507,70.2050451769383,725.034032251404,188
"874949",6.63552399827932,44.1933121777507,70.2050451769383,725.034032251404,188
"874958",6.63609987434748,44.2023035144422,67.9784882344855,731.117707515717,188
"874959",6.64802094140482,44.1928972028069,62.719421704401,831.901822826776,188
"874960",6.64802094140482,44.1928972028069,62.719421704401,831.901822826776,188
"874962",6.63552399827932,44.1933121777507,70.2050451769383,725.034032251404,188
"874963",6.63609987434748,44.2023035144422,67.9784882344855,731.117707515717,188
"874964",6.63552399827932,44.1933121777507,70.2050451769383,725.034032251404,188
"874965",6.63609987434748,44.2023035144422,67.9784882344855,731.117707515717,188
"874966",6.63609987434748,44.2023035144422,67.9784882344855,731.117707515717,188
"874967",6.63609987434748,44.2023035144422,67.9784882344855,731.117707515717,188
"874968",6.62360077496309,44.2027171338359,57.0191211253845,803.635693390001,186
"874969",6.62532357180471,44.2296915762609,60.4717190193995,786.042987456196,186
"874970",6.63782859693991,44.2292777546679,61.2250218048567,773.805865021132,188
"874971",6.62532357180471,44.2296915762609,60.4717190193995,786.042987456196,186
"874973",6.62532357180471,44.2296915762609,60.4717190193995,786.042987456196,186
"874975",6.62589820125712,44.2386831330983,64.8390943284952,713.433753391658,185
"874996",6.67451503798031,44.7958066132884,2.02692306357321,1013.86758160082,156
"874999",6.67451503798031,44.7958066132884,2.02692306357321,1013.86758160082,156
"875021",6.63840520288874,44.2382692440824,61.5982279311014,746.081885755495,177
"875022",6.62589820125712,44.2386831330983,64.8390943284952,713.433753391658,185
"875023",6.6389819915244,44.247260771144,60.0478998461238,727.574131732563,177
"875024",6.6389819915244,44.247260771144,60.0478998461238,727.574131732563,177
"875025",6.62647301277281,44.2476747275944,62.8201443012747,691.611791264389,185
"875026",6.62704800643824,44.2566663595358,57.9903363025628,713.771570996704,185
"875027",6.62704800643824,44.2566663595358,57.9903363025628,713.771570996704,185
"875768",6.71270633726054,44.4160090243962,67.1339441688072,640.753425096464,130
"875771",6.73779724277897,44.4151599723708,77.5989397400525,596.159556105433,130
"875772",6.79219719318194,44.4763857409259,48.5128972008342,757.794583111679,120
"875776",6.804755534634,44.4759528650915,51.4285775652126,732.159742028577,120
"875780",6.80536121064096,44.4849444966883,32.7964033450032,766.14324118743,120
"875783",6.80536121064096,44.4849444966883,32.7964033450032,766.14324118743,120
"875784",6.80536121064096,44.4849444966883,32.7964033450032,766.14324118743,120
"875786",6.80536121064096,44.4849444966883,32.7964033450032,766.14324118743,120
"875789",6.85314719728149,44.4472332121525,44.8407751542788,762.257371838353,169
"875790",6.85314719728149,44.4472332121525,44.8407751542788,762.257371838353,169
"875791",6.85314719728149,44.4472332121525,44.8407751542788,762.257371838353,169
"875792",6.85314719728149,44.4472332121525,44.8407751542788,762.257371838353,169
"875793",6.85314719728149,44.4472332121525,44.8407751542788,762.257371838353,169
"875794",6.85314719728149,44.4472332121525,44.8407751542788,762.257371838353,169
"875806",6.68655550948393,44.7863937326879,4.03511863820116,937.658307927665,156
"875818",6.8167062078128,44.466527030195,49.4011931482732,770.453334605698,120
"875821",6.8167062078128,44.466527030195,49.4011931482732,770.453334605698,120
"875822",6.65091202183354,44.2378539309828,45.6634242908253,968.538808673016,177
"875823",6.65091202183354,44.2378539309828,45.6634242908253,968.538808673016,177
"875824",6.6514907875024,44.2468453903784,46.1063894090377,879.01464695827,177
"875825",6.6514907875024,44.2468453903784,46.1063894090377,879.01464695827,177
"875831",6.98141865478522,44.8392917025164,-3.21633214435127,793.737073819423,155
"875837",6.61339101756225,44.2390955979985,50.3630829330301,862.849782209061,185
"875883",6.78657680499037,44.0169957412064,101.525305668757,749.633278139195,193
"876169",6.10263032030471,44.0655578367423,117.967954962098,653.657671482477,208
"876177",6.11608773720779,44.0831901327709,115.792677265755,678.134641302849,192
"876178",6.11608773720779,44.0831901327709,115.792677265755,678.134641302849,192
"876181",6.11707326731129,44.1011768582636,111.213223333907,693.37301475884,192
"876223",6.77676342453665,44.8103958958342,-3.18113998049752,836.024329821463,168
"876350",6.69563508512651,44.7320136662791,10.9480211109879,816.086812541445,159
"876353",6.7082511980304,44.7315917405361,7.0343997792382,809.114612332738,159
"876357",6.7082511980304,44.7315917405361,7.0343997792382,809.114612332738,159
"876361",6.70765838082797,44.7225987041055,20.6880117752048,726.763971992453,182
"876369",6.11707326731129,44.1011768582636,111.213223333907,693.37301475884,192
"876458",6.64051186769641,44.6617407200132,90.6792453559886,630.171378172668,167
"876460",6.64051186769641,44.6617407200132,90.6792453559886,630.171378172668,167
"876462",6.64051186769641,44.6617407200132,90.6792453559886,630.171378172668,167
"876493",6.68714562383757,44.7953870827711,10.6977692107125,891.588853351835,156
"876815",5.84973716907081,46.0004215706927,118.75457408394,957.183680017082,261
"877000",6.51769781950766,45.3236379863211,22.0202876143947,952.865183835264,169
"877129",5.91481297027678,45.7644779175292,113.858627131903,1061.83076380607,257
"877169",6.39896240647275,45.4715148572218,48.047784057739,1013.47513162097,196
"877170",6.39896240647275,45.4715148572218,48.047784057739,1013.47513162097,196
"877172",6.39896240647275,45.4715148572218,48.047784057739,1013.47513162097,196
"877193",5.77067691926923,46.2276438969399,76.5662356944651,1608.8854990039,218
"877454",6.92539739279391,46.0313440105544,56.8618324364948,962.537566013881,172
"877721",5.58933399933421,45.9616251155633,92.5404143120304,1148.24762986521,213
"877733",5.58933399933421,45.9616251155633,92.5404143120304,1148.24762986521,213
"877762",6.48761206206959,46.2710071263798,55.9164981389607,1695.86769417755,222
"877780",5.72238374970472,46.0395954161603,66.5925946028191,1598.73155053343,211
"877784",6.92347102895662,46.0043626114022,44.4186488941882,1009.71957251067,177
"877790",6.01635442243653,45.266189703394,54.3333520007952,1433.15069748951,187
"877799",6.92347102895662,46.0043626114022,44.4186488941882,1009.71957251067,177
"877857",6.01635442243653,45.266189703394,54.3333520007952,1433.15069748951,187
"877870",6.01635442243653,45.266189703394,54.3333520007952,1433.15069748951,187
"877877",6.02909608121708,45.2658450973905,33.0065242652839,1544.01886953079,187
"877943",6.02909608121708,45.2658450973905,33.0065242652839,1544.01886953079,187
"877956",6.02909608121708,45.2658450973905,33.0065242652839,1544.01886953079,187
"878050",6.70019186016354,45.5701552603209,87.6235029330899,777.989609302651,248
"878051",6.70019186016354,45.5701552603209,87.6235029330899,777.989609302651,248
"878061",6.72640999190413,45.5783034498553,86.1253547803848,755.469628357897,231
"878063",6.72640999190413,45.5783034498553,86.1253547803848,755.469628357897,231
"878085",5.94211119568622,44.8266740856765,92.5059833366182,806.790796334661,195
"878086",5.94211119568622,44.8266740856765,92.5059833366182,806.790796334661,195
"878088",5.92993791491537,44.8360058345446,87.6157330839031,853.392995095182,195
"878089",5.91776058998924,44.8453362761713,73.5528297976422,1054.09289679873,193
"878090",5.91776058998924,44.8453362761713,73.5528297976422,1054.09289679873,193
