"species","sla","plant_height","seed_mass","ldmc","leaf_area","lnc_m","lpc_m","lnc_a","vcmax"
"ANTHRISCUS SYLVESTRIS",34.56615385,1.024705882,4.1025,235,4017.466,29.08066667,3.95,0.84130467,221.2321683
"ANTHYLLIS BARBA-JOVIS",NA,NA,4.38,NA,NA,NA,NA,NA,NA
"ANTHYLLIS HERMANNIAE",NA,1,NA,NA,NA,20.5,1.3,NA,NA
"ANTHYLLIS MONTANA",12.41471428,0.063,3.750766667,294.6919524,2.958333333,24.69166667,1.490833333,1.988903337,523.0083859
"ANTHYLLIS VULNERARIA",15.48511458,0.179578947,3.171048649,201.9777609,6.418153572,28.71011644,1.660714286,1.854046109,487.5458977
"ANTIRRHINUM MAJUS",16.24166667,0.538571429,0.145454545,160,303,NA,NA,NA,NA
"APERA INTERRUPTA",29.144,0.262857143,0.15,274.9425,34.5,NA,NA,NA,NA
"APERA SPICA-VENTI",19.97428571,0.841666667,0.119090909,251,757.5,NA,NA,NA,NA
"APHANES ARVENSIS",17.20777778,0.129166667,0.216363636,262,38,NA,NA,NA,NA
"APHANES AUSTRALIS",19.58714286,0.101428571,0.183333333,210.5733333,70.75,NA,NA,NA,NA
"APHYLLANTHES MONSPELIENSIS",5.605505555,0.1453055,1.384548,275.4939833,1.3909725,23.465,1.5775,4.186063107,1100.78055
"APIUM GRAVEOLENS",18.2,0.73125,0.425333333,160,6432,NA,NA,NA,NA
"APOSERIS FOETIDA",NA,0.1625,2.17,NA,NA,25.37,NA,NA,NA
"AQUILEGIA ALPINA",NA,NA,1,NA,NA,NA,NA,NA,NA
"AQUILEGIA ATRATA",NA,0.5375,1.3625,NA,NA,NA,NA,NA,NA
"AQUILEGIA VISCOSA",NA,NA,3.08,NA,NA,NA,NA,NA,NA
"AQUILEGIA VULGARIS",25.324,0.671428571,1.673333333,292.5,3889.33,23.2,NA,0.916126994,240.907686
"ARABIDOPSIS ARENOSA",27.58,0.304,0.083333333,190,146.6433333,NA,NA,NA,NA
"ARABIDOPSIS HALLERI",37.71,0.31,0.19,185,285.88,NA,NA,NA,NA
"ARABIDOPSIS THALIANA",31.957,0.242777778,0.018666667,139.5714286,281,35.7,4.9,1.117126138,293.7630641
"ARABIS ALLIONII",NA,0.4,1.35,NA,NA,NA,NA,NA,NA
"ARABIS ALPINA",26.31,0.22625,0.267272727,NA,NA,29.4,NA,1.117445838,293.8471334
"ARABIS AURICULATA",NA,0.285,0.02,NA,NA,NA,NA,NA,NA
"ARABIS BELLIDIFOLIA",NA,0.116666667,0.16,NA,NA,NA,NA,NA,NA
